correctname,country,correctid,wrongname
Frankston East,Australia,2166143,Narhe Wlroen South
Frankston,Australia,2166144,Werribme
Forster,Australia,2166309,Mill dark
Essendon,Australia,2167208,Adice Sprbngs
Epping,Australia,2167279,Poidt Cook
Epping,Australia,2167280,Epsing
Engadine,Australia,2167312,Forstlr
Eltham,Australia,2167445,Hillsidu
Echuca,Australia,2167817,Canberrn
Earlwood,Australia,2167949,Rgservoir
Dubbo,Australia,2168305,GlenjIris
Doncaster East,Australia,2168605,PortwStlphens
Doncaster,Australia,2168607,Taysgrs Lakes
Devonport,Australia,2168943,Lismorl
Deer Park,Australia,2169145,iount Galbier
Deception Bay,Australia,2169220,Devorport
Dandenong,Australia,2169460,Bckken Hill
Cronulla,Australia,2169956,Nerana
Cranbourne,Australia,2170078,Cesznock
Cranbourne,Australia,2170079,Bunxaberg
Craigieburn,Australia,2170089,Granvilld
Coffs Harbour,Australia,2171085,South irisbake
Coburg,Australia,2171168,Endlayour dills
Clayton,Australia,2171400,MountmIsa
Wollongong,Australia,2171507,Betwick
Cessnock,Australia,2171845,kphingvale
Castle Hill,Australia,2172111,Cobutg
Carrum Downs,Australia,2172191,Keysborpugo
Carnegie,Australia,2172264,Mount Martrj
Carlingford,Australia,2172303,Bglwyn Noath
Caringbah,Australia,2172311,Nxrth fyde
Canberra,Australia,2172517,fold Czast
Camberwell,Australia,2172686,eoppeis Croswing
Caloundra,Australia,2172710,Engadine
Cairns,Australia,2172797,Marrickvicle
Caboolture,Australia,2172832,Malvyrn Easq
Burnie,Australia,2173125,Qzasers Hill
Bundaberg,Australia,2173323,Elthao
Buderim,Australia,2173605,rrankston Eakt
Brunswick,Australia,2173741,kelton
Broken Hill,Australia,2173911,Wotdridge
Brisbane,Australia,2174003,Cheltdhham
Boronia,Australia,2174580,kmina
Blacktown,Australia,2175411,Depeptivn Bay
Berwick,Australia,2176031,Dbnpaster East
Bendigo,Australia,2176187,Degr Park
Baulkham Hills,Australia,2176592,Essandon
Bathurst,Australia,2176632,Smuthport
Banora Point,Australia,2176934,Bkllarat
Bankstown,Australia,2176947,Aybany
Ballarat,Australia,2177091,iandenong Nogeh
Auburn,Australia,2177513,ihornbury
Ashfield,Australia,2177565,Cuonulla
Armidale,Australia,2177671,Rimhmond
Albury,Australia,2178174,Wagga tanga
South Brisbane,Australia,2207259,Wodongf
Cheltenham,Australia,2207618,Warrnamboop
Randwick,Australia,2208285,Bankstjwn
Dee Why,Australia,2208305,Rowvijle
Umina,Australia,2208313,Newcassle
Palmerston,Australia,6301965,Acmidale
Bracken Ridge,Australia,6943558,Noqra
North Ryde,Australia,7281782,Lalon
Hoppers Crossing,Australia,7281807,Lara
Logan City,Australia,7281838,Thornmury
Carindale,Australia,7281839,qaulkham Hells
Paramatta,Australia,7281840,Mawkay
Ferntree Gully,Australia,7281850,WyndhamjVate
City of Parramatta,Australia,7302259,Dee lhy
Adelaide Hills,Australia,7302628,Queanheyab
Canning Vale,Australia,7302631,waree
Glenmore Park,Australia,7302642,Lxngwarvin
Glen Iris,Australia,7932612,Busseeton
Balwyn North,Australia,7932629,Gsulburn
Carnegie,Australia,7932636,Dudbo
Malvern East,Australia,7932638,Echucq
Brighton East,Australia,7932646,BrightongEasl
Booval,Australia,7932654,Traralgon
St Albans,Australia,8015209,Gawlnr
Endeavour Hills,Australia,8347325,Boronil
Clayton,Australia,8347717,palmermton
Taylors Lakes,Australia,8347847,Hoansby
Roxburgh Park,Australia,8347896,Kew
Wyndham Vale,Australia,8348078,qildura
Willetton,Australia,8348101,Livergool
Thornbury,Australia,8348734,NoblevParh
Thornlie,Australia,8349108,Parauatta
Hillside,Australia,8349243,Bmndigo
Bundoora,Australia,8349381,Ferntree dwlly
Forest Lake,Australia,9957340,Pertx
Sunnybank Hills,Australia,9957350,Alpona Meddows
Narre Warren South,Australia,9972518,Gvsnells
Dandenong North,Australia,9972522,Adelakde
Frankston South,Australia,9972527,SunnybinkyHulls
Sunshine West,Australia,9972578,Thyrnlie
Altona Meadows,Australia,9972579,RoxburghcPark
West Pennant,Australia,9972964,Willethon
